Record Number	Action Type	Action Time	End Time	User Name	Display Name	Duration
47354	Incoming Call	2/14/2016 18:23	2/14/2016 22:22	skyper1	Skyper 1	3.98
37059	Incoming Call	11/8/2015 18:06	11/8/2015 21:58	skyper1	Skyper 1	3.87
28147	Incoming Call	8/23/2015 14:17	8/23/2015 18:06	skyper1	Skyper 1	3.81
28494	Incoming Call	8/26/2015 21:18	8/27/2015 1:05	skyper1	Skyper 1	3.79
47405	Incoming Call	2/14/2016 22:26	2/15/2016 2:14	skyper1	Skyper 1	3.79
16344	Incoming Call	1/27/2015 23:36	1/28/2015 3:21	skyper1	Skyper 1	3.76
24443	Incoming Call	6/26/2015 20:03	6/26/2015 23:39	skyper1	Skyper 1	3.59
40791	Incoming Call	1/9/2016 20:28	1/10/2016 0:02	skyper1	Skyper 1	3.57
24193	Incoming Call	6/22/2015 22:29	6/23/2015 1:58	skyper1	Skyper 1	3.48
18714	Incoming Call	3/8/2015 23:33	3/9/2015 2:53	skyper1	Skyper 1	3.34
35324	Incoming Call	10/21/2015 21:40	10/22/2015 0:58	skyper1	Skyper 1	3.3
16596	Outgoing Call	1/30/2015 4:08	1/30/2015 7:24	skyper1	Skyper 1	3.28
19161	Incoming Call	3/23/2015 22:50	3/24/2015 2:06	skyper1	Skyper 1	3.26
11884	Incoming Call	12/9/2014 2:17	12/9/2014 5:26	skyper1	Skyper 1	3.16
13040	Incoming Call	12/24/2014 1:36	12/24/2014 4:46	skyper1	Skyper 1	3.16
17816	Incoming Call	2/9/2015 0:08	2/9/2015 3:17	skyper1	Skyper 1	3.15
12313	Incoming Call	12/14/2014 22:16	12/15/2014 1:24	skyper1	Skyper 1	3.12
49207	Incoming Call	2/24/2016 22:57	2/25/2016 2:03	skyper1	Skyper 1	3.1
30821	Outgoing Call	9/15/2015 22:10	9/16/2015 1:15	skyper1	Skyper 1	3.08
15696	Incoming Call	1/26/2015 1:56	1/26/2015 5:01	skyper1	Skyper 1	3.08
45554	Incoming Call	1/29/2016 22:49	1/30/2016 1:53	skyper1	Skyper 1	3.07
28944	Incoming Call	9/1/2015 23:40	9/2/2015 2:44	skyper1	Skyper 1	3.06
53109	Incoming Call	3/26/2016 13:51	3/26/2016 16:52	skyper1	Skyper 1	3.02
24536	Incoming Call	6/27/2015 18:25	6/27/2015 21:20	skyper1	Skyper 1	2.92
13562	Outgoing Call	1/5/2015 16:52	1/5/2015 19:43	skyper1	Skyper 1	2.84
52180	Incoming Call	3/19/2016 23:30	3/20/2016 2:19	skyper1	Skyper 1	2.83
16447	Incoming Call	1/29/2015 1:13	1/29/2015 4:00	skyper1	Skyper 1	2.78
17011	Incoming Call	2/2/2015 23:41	2/3/2015 2:27	skyper1	Skyper 1	2.76
52761	Incoming Call	3/23/2016 20:57	3/23/2016 23:42	skyper1	Skyper 1	2.76
14744	Outgoing Call	1/19/2015 17:19	1/19/2015 20:01	skyper1	Skyper 1	2.71
17714	Incoming Call	2/7/2015 20:00	2/7/2015 22:41	skyper1	Skyper 1	2.68
36957	Incoming Call	11/7/2015 15:26	11/7/2015 18:05	skyper1	Skyper 1	2.65
16929	Incoming Call	2/2/2015 2:48	2/2/2015 5:25	skyper1	Skyper 1	2.61
16430	Outgoing Call	1/28/2015 22:36	1/29/2015 1:12	skyper1	Skyper 1	2.6
37857	Incoming Call	11/15/2015 17:48	11/15/2015 20:23	skyper1	Skyper 1	2.59
21449	Incoming Call	5/17/2015 21:31	5/18/2015 0:05	skyper1	Skyper 1	2.57
47842	Incoming Call	2/17/2016 22:18	2/18/2016 0:52	skyper1	Skyper 1	2.57
52477	Incoming Call	3/21/2016 21:33	3/22/2016 0:07	skyper1	Skyper 1	2.55
18496	Incoming Call	3/3/2015 22:20	3/4/2015 0:52	skyper1	Skyper 1	2.53
22878	Outgoing Call	6/7/2015 22:57	6/8/2015 1:29	skyper1	Skyper 1	2.53
13145	Outgoing Call	12/25/2014 1:43	12/25/2014 4:14	skyper1	Skyper 1	2.52
