Time	Author	Message	Skype Name
8/27/2014 17:54	Skyper 2	…	skyper2
8/27/2014 17:55	Skyper 1	…	skyper1
8/27/2014 17:55	Skyper 1	…	skyper1
8/27/2014 17:55	Skyper 1	…	skyper1
8/27/2014 17:56	Skyper 1	…	skyper1
8/27/2014 18:02	Skyper 2	…	skyper2
8/27/2014 18:22	Skyper 2	…	skyper2
8/27/2014 18:31	Skyper 1	…	skyper1
8/27/2014 18:33	Skyper 2	…	skyper2
8/27/2014 18:39	Skyper 2	…	skyper2
8/27/2014 18:40	Skyper 2	…	skyper2
8/27/2014 18:40	Skyper 1	…	skyper1
8/27/2014 18:40	Skyper 2	…	skyper2
8/27/2014 18:40	Skyper 1	…	skyper1
8/27/2014 18:40	Skyper 1	…	skyper1
8/27/2014 18:41	Skyper 2	…	skyper2
8/27/2014 18:41	Skyper 2	…	skyper2
8/27/2014 18:43	Skyper 2	…	skyper2
8/27/2014 18:43	Skyper 2	…	skyper2
8/27/2014 18:47	Skyper 1	…	skyper1
8/27/2014 18:53	Skyper 2	…	skyper2
8/27/2014 19:03	Skyper 1	…	skyper1
8/27/2014 19:03	Skyper 1	…	skyper1
8/27/2014 19:04	Skyper 1	…	skyper1
8/27/2014 19:04	Skyper 2	…	skyper2
8/27/2014 19:04	Skyper 1	…	skyper1
8/28/2014 9:50	Skyper 2	…	skyper2
8/28/2014 9:51	Skyper 2	…	skyper2
8/28/2014 10:12	Skyper 2	…	skyper2
8/28/2014 10:59	Skyper 1	…	skyper1
8/28/2014 11:01	Skyper 2	…	skyper2
8/28/2014 11:02	Skyper 1	…	skyper1
8/28/2014 11:02	Skyper 2	…	skyper2
8/28/2014 11:02	Skyper 2	…	skyper2
8/28/2014 11:03	Skyper 2	…	skyper2
8/28/2014 11:05	Skyper 1	…	skyper1
8/28/2014 11:05	Skyper 1	…	skyper1
8/28/2014 11:06	Skyper 2	…	skyper2
8/28/2014 11:06	Skyper 2	…	skyper2
8/28/2014 11:08	Skyper 1	…	skyper1
8/28/2014 11:20	Skyper 1	…	skyper1
8/28/2014 11:20	Skyper 1	…	skyper1
8/28/2014 11:20	Skyper 1	…	skyper1
8/28/2014 11:21	Skyper 1	…	skyper1
8/28/2014 11:25	Skyper 1	…	skyper1
8/28/2014 11:29	Skyper 2	…	skyper2
8/28/2014 11:29	Skyper 1	…	skyper1
8/28/2014 11:30	Skyper 2	…	skyper2
8/28/2014 11:30	Skyper 2	…	skyper2
8/28/2014 11:30	Skyper 1	…	skyper1
8/28/2014 11:31	Skyper 1	…	skyper1
8/28/2014 11:31	Skyper 2	…	skyper2
8/28/2014 11:31	Skyper 2	…	skyper2
8/28/2014 11:32	Skyper 1	…	skyper1
8/28/2014 11:32	Skyper 1	…	skyper1
8/28/2014 11:32	Skyper 1	…	skyper1
8/28/2014 11:32	Skyper 1	…	skyper1
8/28/2014 11:32	Skyper 1	…	skyper1
8/28/2014 11:34	Skyper 1	…	skyper1
8/28/2014 11:34	Skyper 1	…	skyper1
8/28/2014 11:35	Skyper 1	…	skyper1
8/28/2014 11:37	Skyper 2	…	skyper2
8/28/2014 11:37	Skyper 2	…	skyper2
8/28/2014 13:46	Skyper 2	…	skyper2
8/28/2014 14:34	Skyper 2	…	skyper2
8/28/2014 15:03	Skyper 1	…	skyper1
8/28/2014 15:04	Skyper 2	…	skyper2
8/28/2014 15:05	Skyper 1	…	skyper1
8/28/2014 15:05	Skyper 1	…	skyper1
8/28/2014 15:11	Skyper 1	…	skyper1
8/28/2014 15:11	Skyper 1	…	skyper1
8/28/2014 15:12	Skyper 2	…	skyper2
8/28/2014 15:12	Skyper 1	…	skyper1
8/28/2014 15:12	Skyper 1	…	skyper1
